,player,team,AGE,RANK,salary,college,height,position,weight,shoots
1440,Rudy Gay,SAS,33.0,84.0,14000000.0,University of Connecticut,6.8,Power Forward and Small Forward,230.0,Right
1450,Paul George,LAC,30.0,8.0,35450412.0,"California State University, Fresno",6.9,Small Forward and Shooting Guard,220.0,Right
1465,Taj Gibson,NYK,35.0,326.0,3283684.0,University of Southern California,6.9,Power Forward,232.0,Right
1466,Taj Gibson,NYK,35.0,453.0,3283684.0,University of Southern California,6.9,Power Forward,232.0,Right
1470,Shai Gilgeous-Alexander,OKC,21.0,231.0,4141320.0,University of Kentucky,6.6,Point Guard,181.0,Right
1494,Rudy Gobert,UTA,28.0,42.0,26525281.0,,7.1,Center,245.0,Right
1506,Brandon Goodwin,ATL,24.0,385.0,1701593.0,"University of Central Florida, Florida Gulf Coast University",6.2,Point Guard,180.0,Right
1508,Aaron Gordon,ORL,24.0,60.0,18136364.0,University of Arizona,6.9,Power Forward and Small Forward,220.0,Right
1511,Eric Gordon,HOU,31.0,69.0,16869276.0,Indiana University,6.4,Shooting Guard and Point Guard,215.0,Right
1522,Devonte' Graham,CHA,25.0,401.0,1663861.0,University of Kansas,6.2,Point Guard,185.0,Right
1540,Jerami Grant,DEN,26.0,55.0,19047619.0,Syracuse University,6.9,Small Forward and Power Forward,220.0,Right
1541,Jerian Grant,WAS,27.0,367.0,1882867.0,University of Notre Dame,6.4,Point Guard,205.0,Right
1553,Josh Gray,NOP,26.0,404.0,1620564.0,Louisiana State University,6.1,Point Guard,180.0,Right
1561,Danny Green,LAL,33.0,77.0,15365854.0,University of North Carolina,6.6,Shooting Guard,215.0,Right
1563,Draymond Green,GSW,30.0,47.0,22246956.0,Michigan State University,6.7,Small Forward and Power Forward,230.0,Right
1566,JaMychal Green,LAC,30.0,165.0,7199760.0,University of Alabama,6.9,Power Forward,227.0,Right
1567,Jeff Green,HOU,33.0,307.0,2564753.0,Georgetown University,6.9,Small Forward and Power Forward,235.0,Right
1596,Blake Griffin,DET,31.0,18.0,33685241.0,University of Oklahoma,6.1,Power Forward,250.0,Right
1597,Blake Griffin,DET,31.0,446.0,33685241.0,University of Oklahoma,6.1,Power Forward,250.0,Right
1688,Tim Hardaway Jr.,DAL,28.0,56.0,18975000.0,University of Michigan,6.6,Shooting Guard,205.0,Right
1689,James Harden,HOU,30.0,5.0,40824000.0,Arizona State University,6.5,Shooting Guard and Point Guard,220.0,Left
1697,Maurice Harkless,NYK,27.0,253.0,3623000.0,St. John's University,6.9,Small Forward,220.0,Right
1706,Montrezl Harrell,LAC,26.0,133.0,9258000.0,University of Louisville,6.8,Power Forward and Center,240.0,Right
1719,Gary Harris,DEN,25.0,54.0,19160714.0,Michigan State University,6.4,Shooting Guard,210.0,Right
1720,Joe Harris,BKN,28.0,72.0,16071429.0,University of Virginia,6.6,Shooting Guard,218.0,Right
1726,Tobias Harris,PHI,27.0,14.0,33517241.0,University of Tennessee,6.9,Power Forward and Small Forward,235.0,Right
1732,Shaquille Harrison,CHI,26.0,473.0,770433.0,University of Tulsa,6.4,Point Guard,190.0,Left
1734,Josh Hart,NOP,25.0,264.0,3491159.0,Villanova University,6.5,Shooting Guard,215.0,Right
1735,Isaiah Hartenstein,HOU,22.0,439.0,1445697.0,,7.0,Power Forward,249.0,Left
1740,Udonis Haslem,MIA,40.0,302.0,2564753.0,University of Florida,6.8,Power Forward and Center,235.0,Right
1764,Gordon Hayward,BOS,30.0,35.0,28500000.0,Butler University,6.8,Power Forward and Small Forward,225.0,Right
1822,Buddy Hield,SAC,27.0,45.0,24431818.0,University of Oklahoma,6.4,Shooting Guard,214.0,Right
1837,George Hill,MIL,34.0,127.0,9590602.0,Indiana University-Purdue University Indianapolis,6.3,Point Guard,188.0,Right
1841,Solomon Hill,MIA,29.0,335.0,2174318.0,University of Arizona,6.7,Small Forward,225.0,Right
1864,Aaron Holiday,IND,23.0,314.0,2345640.0,"University of California, Los Angeles",6.1,Point Guard,185.0,Right
1865,Jrue Holiday,NOP,30.0,43.0,26131111.0,"University of California, Los Angeles",6.4,Point Guard and Shooting Guard,205.0,Right
1866,Justin Holiday,IND,31.0,187.0,5720400.0,University of Washington,6.6,Shooting Guard,181.0,Right
1876,Richaun Holmes,SAC,26.0,203.0,5005350.0,Bowling Green State University,6.1,Center and Power Forward,235.0,Right
1886,Rodney Hood,POR,27.0,119.0,10047450.0,"Mississippi State University, Duke University",6.8,Shooting Guard,206.0,Left
1896,Al Horford,PHI,34.0,40.0,27500000.0,University of Florida,6.1,Center,245.0,Right
1911,Dwight Howard,LAL,34.0,300.0,2564753.0,,6.11,Power Forward and Center,265.0,Right
1925,Kevin Huerter,ATL,21.0,289.0,2761920.0,University of Maryland,6.7,Shooting Guard,190.0,Right
1954,Chandler Hutchison,CHI,24.0,311.0,2443440.0,Boise State University,6.7,Small Forward,197.0,Right
1958,Serge Ibaka,TOR,30.0,135.0,9258000.0,,6.1,Power Forward and Center,235.0,Right
1959,Andre Iguodala,MIA,36.0,80.0,15000000.0,University of Arizona,6.6,Small Forward and Shooting Guard,215.0,Right
1966,Joe Ingles,UTA,32.0,113.0,10863637.0,,6.8,Power Forward and Small Forward,226.0,Left
1969,Brandon Ingram,NOP,22.0,41.0,27285000.0,Duke University,6.9,Small Forward,190.0,Right
1974,Kyrie Irving,BKN,28.0,15.0,33329100.0,Duke University,6.3,Point Guard,193.0,Right
1975,Jonathan Isaac,ORL,22.0,161.0,7362566.0,Florida State University,6.1,Power Forward,210.0,Right
1994,Jaren Jackson Jr.,MEM,20.0,164.0,7257360.0,Michigan State University,6.11,Power Forward,242.0,Right
1997,Josh Jackson,MEM,23.0,215.0,4767000.0,University of Kansas,6.8,Small Forward and Shooting Guard,200.0,Right
1998,Justin Jackson,DAL,25.0,202.0,5029650.0,University of North Carolina,6.8,Small Forward,210.0,Right
2011,Reggie Jackson,LAC,30.0,318.0,2331593.0,Boston College,6.3,Point Guard,208.0,Right
2029,LeBron James,LAL,35.0,6.0,39219565.0,,6.8,Shooting Guard and Small Forward and Power Forward,250.0,Right
2066,Alize Johnson,IND,24.0,489.0,399591.0,Missouri State,6.9,Power Forward,212.0,Right
2102,James Johnson,MIN,33.0,73.0,16047100.0,Wake Forest University,6.8,Power Forward and Small Forward,240.0,Right
2125,Stanley Johnson,TOR,24.0,246.0,3801000.0,University of Arizona,6.7,Small Forward,245.0,Right
2130,Tyler Johnson,BKN,28.0,350.0,2028594.0,"California State University, Fresno",6.4,Shooting Guard and Point Guard,190.0,Left
2151,Damian Jones,ATL,25.0,472.0,785285.0,Vanderbilt University,7.0,Center,245.0,Right
2154,Derrick Jones Jr.,MIA,23.0,130.0,9268293.0,"University of Nevada, Las Vegas",6.7,Small Forward,200.0,Left
2188,Tyus Jones,MEM,24.0,153.0,7965100.0,Duke University,6.2,Point Guard,196.0,Right
2195,DeAndre Jordan,BKN,31.0,116.0,10375678.0,Texas A&M University,6.11,Center,265.0,Left
2206,Cory Joseph,SAC,28.0,99.0,12600000.0,University of Texas at Austin,6.3,Point Guard and Shooting Guard,193.0,Right
2217,Frank Kaminsky,PHX,27.0,368.0,1882867.0,University of Wisconsin,7.0,Center and Power Forward,242.0,Right
2218,Enes Kanter,BOS,28.0,204.0,5005350.0,,6.11,Center,250.0,Right
2250,Luke Kennard,DET,24.0,197.0,5273826.0,Duke University,6.5,Shooting Guard,206.0,Left
2308,Maxi Kleber,DAL,28.0,144.0,8250000.0,,6.11,Power Forward,240.0,Right
2336,Furkan Korkmaz,PHI,22.0,376.0,1762796.0,,6.7,Shooting Guard,190.0,Right
2338,Luke Kornet,CHI,24.0,324.0,2304878.0,Vanderbilt University,7.1,Power Forward,250.0,Right
2372,Rodions Kurucs,BKN,22.0,374.0,1780152.0,,6.9,Small Forward,210.0,Right
2375,Kyle Kuzma,LAL,24.0,256.0,3562178.0,University of Utah,6.9,Power Forward,220.0,Right
2393,Jeremy Lamb,IND,28.0,115.0,10500000.0,University of Connecticut,6.5,Small Forward and Shooting Guard,185.0,Right
2425,Zach LaVine,CHI,25.0,53.0,19500000.0,"University of California, Los Angeles",6.5,Point Guard and Shooting Guard,200.0,Right
2432,Jake Layman,MIN,26.0,247.0,3761085.0,University of Maryland,6.9,Small Forward,215.0,Right
2434,T.J. Leaf,IND,23.0,226.0,4326825.0,"University of California, Los Angeles",6.1,Power Forward,225.0,Right
2444,Damion Lee,GSW,27.0,375.0,1762796.0,"Drexel University, University of Louisville",6.6,Shooting Guard,210.0,Right
2462,Alex Len,SAC,27.0,323.0,4032648.0,University of Maryland,7.1,Center,250.0,Right
2463,Alex Len,SAC,27.0,382.0,4032648.0,University of Maryland,7.1,Center,250.0,Right
2467,Kawhi Leonard,LAC,29.0,13.0,34379100.0,San Diego State University,6.7,Small Forward,230.0,Right
2468,Meyers Leonard,MIA,28.0,129.0,9400000.0,University of Illinois at Urbana-Champaign,7.1,Power Forward and Center,255.0,Right
2477,Caris LeVert,BKN,25.0,71.0,16203704.0,University of Michigan,6.7,Small Forward,204.0,Right
2496,Damian Lillard,POR,29.0,19.0,31626953.0,Weber State University,6.3,Point Guard,195.0,Right
2529,Kevon Looney,GSW,24.0,214.0,4821429.0,"University of California, Los Angeles",6.9,Center and Power Forward,220.0,Right
2530,Brook Lopez,MIL,32.0,97.0,12697675.0,Stanford University,7.0,Center,270.0,Right
2533,Robin Lopez,MIL,32.0,163.0,7300000.0,Stanford University,7.0,Center,275.0,Right
2539,Kevin Love,CLE,31.0,20.0,31300000.0,"University of California, Los Angeles",6.1,Center and Power Forward,251.0,Right
2544,Kyle Lowry,TOR,34.0,21.0,30000000.0,Villanova University,6.1,Point Guard,196.0,Right
2560,Trey Lyles,SAS,24.0,192.0,5500000.0,University of Kentucky,6.1,Power Forward,234.0,Right
2602,Thon Maker,DET,23.0,496.0,309355.0,,7.1,Center and Power Forward,221.0,Right
2629,Lauri Markkanen,CHI,23.0,171.0,6731508.0,University of Arizona,7.0,Power Forward,240.0,Right
2671,Wesley Matthews,MIL,33.0,255.0,3623000.0,Marquette University,6.5,Small Forward and Shooting Guard,220.0,Right
2707,Patrick McCaw,TOR,24.0,238.0,4000000.0,"University of Nevada, Las Vegas",6.7,Shooting Guard,185.0,Right
2713,CJ McCollum,POR,28.0,27.0,29354152.0,Lehigh University,6.3,Shooting Guard,190.0,Right
2716,T.J. McConnell,IND,28.0,263.0,3500000.0,"Duquesne University, University of Arizona",6.2,Point Guard,190.0,Right
2731,Doug McDermott,IND,28.0,162.0,7333333.0,Creighton University,6.8,Small Forward,225.0,Right
2743,JaVale McGee,LAL,32.0,229.0,4200000.0,"University of Nevada, Reno",7.0,Center,270.0,Right
2751,Rodney McGruder,LAC,28.0,207.0,5000000.0,Kansas State University,6.4,Shooting Guard,200.0,Right
2772,Alfonzo McKinnie,CLE,27.0,377.0,1762796.0,University of Wisconsin-Green Bay,6.8,Small Forward,215.0,Right
2773,Ben McLemore,HOU,27.0,328.0,2852708.0,University of Kansas,6.5,Shooting Guard,201.0,Right
2774,Ben McLemore,HOU,27.0,480.0,2852708.0,University of Kansas,6.5,Shooting Guard,201.0,Right
2814,De'Anthony Melton,MEM,22.0,156.0,7812500.0,University of Southern California,6.4,Point Guard,200.0,Right
2833,Khris Middleton,MIL,28.0,16.0,33051724.0,Texas A&M University,6.8,Shooting Guard and Small Forward,222.0,Right
2867,Patty Mills,SAS,31.0,92.0,13285714.0,Saint Mary's College of California,6.0,Point Guard,180.0,Right
2870,Paul Millsap,DEN,35.0,122.0,10000000.0,Louisiana Tech University,6.8,Power Forward,246.0,Right
2871,Shake Milton,PHI,23.0,383.0,1701593.0,Southern Methodist University,6.6,Shooting Guard,207.0,Right
2881,Donovan Mitchell,UTA,23.0,199.0,5195501.0,University of Louisville,6.3,Shooting Guard,215.0,Right
2905,Malik Monk,CHA,22.0,195.0,5345687.0,University of Kentucky,6.3,Shooting Guard,200.0,Right
2916,E'Twaun Moore,NOP,31.0,316.0,2331593.0,Purdue University,6.4,Point Guard and Shooting Guard,191.0,Right
2938,Markieff Morris,LAL,30.0,317.0,2331593.0,University of Kansas,6.1,Power Forward,245.0,Right
2940,Monte Morris,DEN,25.0,391.0,1663861.0,Iowa State University,6.3,Point Guard,175.0,Right
2986,Dejounte Murray,SAS,23.0,83.0,14285714.0,University of Washington,6.5,Point Guard,170.0,Right
2987,Jamal Murray,DEN,23.0,29.0,29250000.0,University of Kentucky,6.4,Shooting Guard and Point Guard,207.0,Right
2996,Mike Muscala,OKC,28.0,327.0,2283034.0,Bucknell University,6.11,Power Forward and Center,240.0,Right
3010,Abdel Nader,OKC,26.0,378.0,1752950.0,"Northern Illinois University, Iowa State University",6.6,Small Forward,225.0,Right
3016,Larry Nance Jr.,CLE,27.0,107.0,11709091.0,University of Wyoming,6.9,Center and Power Forward,230.0,Right
3047,Raul Neto,PHI,28.0,365.0,1882867.0,,6.1,Point Guard,179.0,Right
3059,Georges Niang,UTA,27.0,373.0,1783557.0,Iowa State University,6.8,Power Forward,230.0,Right
3071,Joakim Noah,LAC,35.0,178.0,6431666.0,University of Florida,6.11,Center,230.0,Right
3075,Nerlens Noel,OKC,26.0,208.0,5000000.0,University of Kentucky,6.11,Power Forward and Center,220.0,Right
3095,Frank Ntilikina,NYK,21.0,180.0,6176578.0,,6.6,Point Guard,200.0,Right
3099,David Nwaba,HOU,27.0,370.0,1862250.0,"California Polytechnic State University, San Luis Obispo",6.4,Shooting Guard,219.0,Right
3121,Royce O'Neale,UTA,27.0,149.0,8035714.0,Baylor University,6.6,Small Forward,226.0,Right
3137,Semi Ojeleye,BOS,25.0,379.0,1752950.0,Southern Methodist University,6.7,Power Forward,241.0,Right
3139,Jahlil Okafor,NOP,24.0,364.0,1882867.0,Duke University,6.11,Center,275.0,Right
3141,Josh Okogie,MIN,21.0,294.0,2651040.0,Georgia Institute of Technology,6.4,Shooting Guard,212.0,Right
3143,Victor Oladipo,IND,28.0,50.0,21000000.0,Indiana University,6.4,Shooting Guard and Point Guard,210.0,Right
3157,Kelly Olynyk,MIA,29.0,101.0,12198243.0,Gonzaga University,7.0,Center and Power Forward,240.0,Right
3166,Cedi Osman,CLE,25.0,140.0,8750000.0,,6.8,Small Forward,215.0,Right
3172,Kelly Oubre Jr.,PHX,24.0,82.0,14375000.0,University of Kansas,6.7,Small Forward,205.0,Left
3212,Jabari Parker,SAC,25.0,175.0,6916834.0,Duke University,6.8,Power Forward,245.0,Right
3213,Jabari Parker,SAC,25.0,488.0,6916834.0,Duke University,6.8,Power Forward,245.0,Right
3234,Patrick Patterson,LAC,31.0,277.0,3814768.0,University of Kentucky,6.9,Power Forward,230.0,Right
3235,Patrick Patterson,LAC,31.0,476.0,3814768.0,University of Kentucky,6.9,Power Forward,230.0,Right
3242,Chris Paul,OKC,35.0,3.0,41358814.0,Wake Forest University,6.0,Point Guard,175.0,Right
