,player,team,AGE,MIN,GP,PTS,REB,AST,PLUS_MINUS,TOV,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,RANK,salary
222,Jalen Brunson,DAL,23.0,17.9,57,8.2,2.4,3.3,3.0,1.2,0.466,0.8,0.358,1.1,0.813,398.0,1663861.0
223,Jalen Lecque,PHX,20.0,6.3,5,2.0,0.4,0.4,-4.0,0.4,0.4,0.0,0.0,0.4,1.0,421.0,1517981.0
224,Jalen McDaniels,CHA,22.0,18.3,16,5.6,4.1,0.8,-1.4,0.7,0.471,0.6,0.375,0.9,0.824,431.0,1517981.0
226,Jamal Murray,DEN,23.0,32.3,59,18.5,4.0,4.8,4.1,2.2,0.456,1.9,0.346,2.8,0.881,29.0,29250000.0
228,James Harden,HOU,30.0,36.5,68,34.3,6.6,7.5,4.2,4.5,0.444,4.4,0.355,10.2,0.865,5.0,40824000.0
229,James Johnson,MIN,33.0,19.4,32,8.4,3.7,2.3,-2.3,1.5,0.479,1.0,0.363,1.0,0.646,73.0,16047100.0
230,Jared Dudley,LAL,34.0,8.1,45,1.5,1.2,0.6,0.4,0.2,0.4,0.4,0.429,0.0,1.0,303.0,2564753.0
232,Jaren Jackson Jr.,MEM,20.0,28.5,57,17.4,4.6,1.4,-1.8,1.7,0.469,2.5,0.394,2.4,0.747,164.0,7257360.0
233,Jarred Vanderbilt,MIN,21.0,4.2,11,1.1,0.8,0.2,-2.5,0.6,0.625,0.0,0.0,0.2,1.0,400.0,1663861.0
235,Jarrett Allen,BKN,22.0,26.5,70,11.1,9.6,1.6,0.6,1.1,0.649,0.0,0.0,2.4,0.633,241.0,3909902.0
236,Jarrett Culver,MIN,21.0,23.9,63,9.2,3.4,1.7,-1.6,1.3,0.404,1.0,0.299,0.9,0.462,183.0,6104280.0
238,Javonte Green,BOS,26.0,9.7,48,3.4,1.9,0.5,-0.6,0.5,0.5,0.2,0.273,0.6,0.667,433.0,1517981.0
239,Jaxson Hayes,NOP,20.0,16.9,64,7.4,4.0,0.9,-0.9,0.8,0.672,0.0,0.25,1.9,0.647,201.0,5105160.0
240,Jaylen Brown,BOS,23.0,33.9,57,20.3,6.4,2.1,4.0,2.2,0.481,2.3,0.382,3.1,0.724,46.0,22991071.0
